LÃ¤nder,Sportart,event,Medallien,"Name Athlet","Alter Athlet",Geschlecht
FRA,Athletics,"Athletics Men's 400 metres",Gold,"Luc Abalo",23,M
ITA,Athletics,"Athletics Women's 100 metres",Gold,"Agostino Abbagnale",29,M
FIN,Archery,"Archery Men's Team",Gold,"Paavo Johannes Aaltonen",28,M
ITA,Athletics,"Athletics Women's 100 metres",Gold,"Agostino Abbagnale",22,M
FIN,Archery,"Archery Men's Team",Gold,"Paavo Johannes Aaltonen",28,M
FIN,Archery,"Archery Men's Team",Gold,"Paavo Johannes Aaltonen",28,M
ITA,Athletics,"Athletics Women's 100 metres",Gold,"Agostino Abbagnale",34,M
NOR,Archery,"Archery Women's Individual",Gold,"Ragnhild Margrethe Aamodt",27,F
FRA,Athletics,"Athletics Men's 400 metres",Gold,"Luc Abalo",27,M
ITA,Athletics,"Athletics Women's 100 metres Hurdles",Gold,"Carmine Abbagnale",22,M
ITA,Athletics,"Athletics Women's 20 kilometres Walk",Gold,"Giuseppe Abbagnale",29,M
CMR,Athletics,"Athletics Men's 5,000 metres",Gold,"Jouan Patrice Abanda Etong",22,M
ESP,Athletics,"Athletics Men's 800 metres",Gold,"Jos Mara Abarca Plotas",22,M
NOR,"Art Competitions","Art Competitions Mixed Painting, Graphic Arts",Gold,"Thomas Valentin Aas",25,M
FRA,Athletics,"Athletics Men's 10 mile Walk",Gold,"Ren Abadie",21,M
ITA,Athletics,"Athletics Women's 100 metres Hurdles",Gold,"Carmine Abbagnale",26,M
FRA,Athletics,"Athletics Men's Long Jump",Gold,"Jol Marc Abati",38,M
ITA,Athletics,"Athletics Women's 20 kilometres Walk",Gold,"Giuseppe Abbagnale",25,M
ESP,Athletics,"Athletics Men's Discus Throw",Gold,"Alejandro Abascal Garca",28,M
BLR,Athletics,"Athletics Men's 4 x 400 metres Relay",Gold,"Aleksey Aleksandrovich Abalmasov",28,M
PAK,"Jeu De Paume","Jeu De Paume Men's Singles",Gold,"Lala Abdul Rashid",38,M
URS,"Modern Pentathlon","Modern Pentathlon Women's Individual",Gold,"Zagalav Abdulbekovich Abdulbekov",26,M
UZB,Rowing,"Rowing Men's Single Sculls",Gold,"Mukhammad Kadyr Abdullayev",26,M
AZE,Rowing,"Rowing Women's Coxed Fours",Gold,"Namiq Yadulla Abdullayev",29,M
USA,Sailing,"Sailing Men's One Person Heavyweight Dinghy",Gold,"Julius Shareef Abdur-Rahim",23,M
EUN,Sailing,"Sailing Mixed 18 foot",Gold,"Andrey Khakimovich Abduvaliyev",26,M
ESP,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Gold,"Abelardo Fernndez Antua",22,M
USA,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Gold,"Louis Grenville "Lou" Abell",19,M
ETH,Shooting,"Shooting Men's Running Target, Double Shot, Team",Gold,"Gezahgne Abera",22,M
USA,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Gold,"Michael Brent Abernathy",22,M
BUL,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Gold,"Ismail Abilov (-Nizamolu)",29,M
USA,Swimming,"Swimming Men's 100 yard Freestyle",Gold,"Edgar Allen "Ed" Ablowich",19,M
HUN,Taekwondo,"Taekwondo Women's Flyweight",Gold,"Attila brahm",21,M
GBR,Trampolining,"Trampolining Men's Individual",Gold,"Harold Maurice Abrahams",24,M
NOR,Triathlon,"Triathlon Men's Olympic Distance",Gold,"Isak Abrahamsen",21,M
NOR,"Art Competitions","Art Competitions Mixed Architecture, Architectural Designs",Silver,"Alf Lied Aanning",24,M
NED,"Art Competitions","Art Competitions Mixed Literature, Epic Works",Silver,"Pepijn Aardewijn",26,M
EGY,"Synchronized Swimming","Synchronized Swimming Women's Team",Silver,"Alaaeldin Ahmad El-Sayyid Abouelkassem",21,M
AZE,Rowing,"Rowing Women's Coxed Fours",Silver,"Namiq Yadulla Abdullayev",25,M
NOR,"Art Competitions","Art Competitions Mixed Music, Vocals",Silver,"Karl Jan Aas",20,M
TJK,Sailing,"Sailing Mixed 12 foot",Silver,"Yusup Abdusalomov",30,M
ITA,Athletics,"Athletics Women's 100 metres Hurdles",Silver,"Carmine Abbagnale",30,M
SUI,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,"Max "Xam" Abegglen",22,M
GDR,Shooting,"Shooting Men's Military Pistol, 30 metres",Silver,"Irene Abel",19,F
NOR,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres",Silver,"Egil Sten Abel",20,M
RUS,Athletics,"Athletics Men's 3,000 metres, Team",Silver,"Mariya Vasilyevna Abakumova (-Tarabina)",22,F
USA,Athletics,"Athletics Men's Decathlon",Silver,"Stephen Anthony Abas",26,M
ITA,Athletics,"Athletics Women's 20 kilometres Walk",Silver,"Giuseppe Abbagnale",33,M
SWE,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Silver,"Nils Georg berg",19,M
RUS,Athletics,"Athletics Men's Javelin Throw",Silver,"Tamila Rashidovna Abasova",21,F
TUR,Shooting,"Shooting Men's Trap",Silver,"Elvan Abeylegesse",25,F
HUN,Athletics,"Athletics Men's Standing High Jump",Silver,"Pter Abay",30,M
USA,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres",Silver,"Nia Nicole Abdallah",20,F
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Silver,"Denis Mikhaylovich Ablyazin",19,M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Silver,"Denis Mikhaylovich Ablyazin",24,M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Silver,"Denis Mikhaylovich Ablyazin",24,M
URS,Swimming,"Swimming Men's 220 yard Freestyle",Silver,"Viktor Andreyevich Aboimov",22,M
USA,Boxing,"Boxing Women's Lightweight",Silver,"Monica Cecilia Abbott",23,F
HUN,Taekwondo,"Taekwondo Women's Flyweight",Silver,"Attila brahm",25,M
SWE,Tennis,"Tennis Mixed Doubles",Silver,"Ara Abrahamian",29,M
FRA,Athletics,"Athletics Men's 400 metres",Silver,"Luc Abalo",31,M
GBR,Trampolining,"Trampolining Men's Individual",Silver,"Harold Maurice Abrahams",24,M
PAK,Judo,"Judo Men's Extra-Lightweight",Silver,"Muhammad Abdul Rashid",23,M
URS,Weightlifting,"Weightlifting Women's Super-Heavyweight",Silver,"Nelli Mikhaylovna Abramova",24,F
SWE,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Bronze,"Nils Georg berg",19,M
FIN,Archery,"Archery Men's Team",Bronze,"Paavo Johannes Aaltonen",28,M
FIN,Archery,"Archery Men's Team",Bronze,"Paavo Johannes Aaltonen",32,M
RSA,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,"Moira Abernethy (-Ford)",17,F
NED,"Art Competitions","Art Competitions Mixed Literature, Dramatic Works",Bronze,"Willemien Aardenburg",22,F
ITA,Athletics,"Athletics Men's 200 metres",Bronze,"Giovanni Abagnale",21,M
ESP,Athletics,"Athletics Men's 200 metres Hurdles",Bronze,"Jos Luis Abajo Gmez",30,M
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Bronze,"Denis Mikhaylovich Ablyazin",19,M
AZE,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,"Patimat Abakarova",21,F
NOR,"Art Competitions","Art Competitions Mixed Music, Unknown Event",Bronze,"Ann Kristin Aarnes",23,F
RUS,Swimming,"Swimming Men's 200 metres Backstroke",Bronze,"Denis Mikhaylovich Ablyazin",24,M
ESP,Athletics,"Athletics Men's Discus Throw, Both Hands",Bronze,"Jos Manuel Abascal Gmez",26,M
ETH,Sailing,"Sailing Women's Windsurfer",Bronze,"Addis Abebe",21,M
URS,Swimming,"Swimming Men's 220 yard Freestyle",Bronze,"Viktor Andreyevich Aboimov",22,M
AUS,Swimming,"Swimming Men's 400 metres Breaststroke",Bronze,"Matthew "Matt" Abood",30,M
IRI,Fencing,"Fencing Men's Sabre, Individual",Bronze,"Saeid Morad Abdevali",26,M
HUN,Taekwondo,"Taekwondo Women's Flyweight",Bronze,"Attila brahm",21,M
HUN,Athletics,"Athletics Men's Standing Long Jump",Bronze,"Oszkr Abay-Nemes",22,M
ITA,Athletics,"Athletics Women's 1,500 metres",Bronze,"Silvano Abba",25,M
GBR,Taekwondo,"Taekwondo Women's Welterweight",Bronze,"Gary Abraham",21,M
CAN,Shooting,"Shooting Men's Military Pistol, Team",Bronze,"Jennifer Abel",20,F
AUS,Boxing,"Boxing Men's Heavyweight",Bronze,"Desmond "Des" Abbott",21,M
FIN,Archery,"Archery Men's Target Archery, 50 metres, Individual",Bronze,"Arvo Ossian Aaltonen",30,M
CAN,"Figure Skating","Figure Skating Men's Singles",Bronze,"Reema Abdo",21,F
SWE,"Water Polo","Water Polo Women's Water Polo",Bronze,"Erik Adolf Efraim Abrahamsson",22,M
RUS,Weightlifting,"Weightlifting Women's Heavyweight",Bronze,"Pavel Sergeyevich Abramov",25,M
FIN,Archery,"Archery Men's Target Archery, 50 metres, Individual",Bronze,"Arvo Ossian Aaltonen",30,M
